parameter,MAG Z890 TOMAHAWK WIFI,PRO Z890-P WIFI
Price,259.99,239.99
Rating,4.7,4.5
Review count,3,4
MPN,MAG Z890 TOMAHAWK WIFI,PRO Z890-P WIFI
AUDIO,Realtek® ALC1220P Codec 7.1-Channel High Definition Audio Supports S/PDIF output,Realtek® ALC897 Codec 7.1-Channel High Definition Audio
BLUETOOTH,"Supports Bluetooth® 5.4**, MLO, 4KQAM 6GHz band support may depend on every country’s regulations and Wi-Fi 7 will be ready in Windows 11 SV3. The Bluetooth version may be updated, please refer to the Wi-Fi chipset vendor's website for details. Bluetooth 5.4 support schedule depends on MSFT Windows 11 plan.","Supports Bluetooth® 5.4**, MLO, 4KQAM 6GHz band support may depend on every country’s regulations and Wi-Fi 7 will be ready in Windows 11 version 24H2. The Bluetooth version may be updated, please refer to the Wi-Fi chipset vendor’s website for details. Bluetooth 5.4 will be ready in Windows 11 version 24H2."
CHIPSET,INTEL Z890 Chipset,INTEL Z890
EXPANSION SLOTS,3x PCI-E x16 slot PCI_E1 Gen PCIe 5.0 supports up to x16 (From CPU) PCI_E2 Gen PCIe 4.0 supports up to x4 (From Chipset) PCI_E3 Gen PCIe 4.0 supports up to x4 (From Chipset),3x PCI-E x16 slot 1x PCI-E x1 slot PCI_E1 Gen PCIe 5.0 supports up to x16 (From CPU) PCI_E2 Gen PCIe 4.0 supports up to x1 (From Chipset) PCI_E3 Gen PCIe 4.0 supports up to x4 (From Chipset) PCI_E4 Gen PCIe 4.0 supports up to x4 (From Chipset)
I/O (REAR),USB 10Gbps Type-A USB 5Gbps Type-A 5G LAN Wi-Fi / Bluetooth Audio Connectors HDMI™ Thunderbolt™ 4 40Gbps (Type-C) USB 10Gbps Type-C Flash BIOS Button Clear CMOS Button USB 5Gbps Type-A S/PDIF-OUT,DisplayPort Mouse / Keyboard USB 2.0 5G LAN Wi-Fi / Bluetooth Audio Connectors Flash BIOS Button Thunderbolt™ 4 40Gbps (Type-C) HDMI™ USB 2.0 USB 5Gbps Type-A USB 10Gbps Type-C USB 10Gbps Type-A
INTERNAL CONNECTORS,"1x Thunderbolt5 card connector(JTBT5, support RTD3) 1x Power Connector(ATX_PWR) 2x Power Connector(CPU_PWR) 1x Power Connector(PCIE_PWR 8pin) 1x CPU Fan 1x Combo Fan (Pump_Sys Fan) 6x System Fan 1x EZ Conn-header (JAF_2) 2x Front Panel (JFP) 1x Chassis Intrusion (JCI) 1x Front Audio (JAUD) 3x Addressable V2 RGB LED connector (JARGB_V2) 1x RGB LED connector(JRGB) 1x TPM pin header(Support TPM 2.0) 4x USB 2.0 ports 2x USB 5Gbps Type A ports 1x USB 20Gbps Type C ports","1x Thunderbolt5 card connector(JTBT5, support RTD3) 1x Power Connector(ATX_PWR) 2x Power Connector(CPU_PWR) 1x Power Connector(PCIE_PWR 8pin) 1x CPU Fan 1x Combo Fan (Pump_Sys Fan) 5x System Fan 2x Front Panel (JFP) 1x Chassis Intrusion (JCI) 1x Front Audio (JAUD) 1x Tuning Controller connector(JDASH) 3x Addressable V2 RGB LED connector (JARGB_V2) 1x RGB LED connector(JRGB) 1x TPM pin header(Support TPM 2.0) 4x USB 2.0 ports 4x USB 5Gbps Type A ports 1x USB 20Gbps Type C ports"
LAN,Intel® Killer™ E5000 5Gbps LAN,Realtek® 8126 5Gbps LAN
MANUFACTURER NUMBER,MAG Z890 TOMAHAWK WIFI,PRO Z890-P WIFI
ONBOARD GRAPHICS,"1x HDMI™ Support HDMI™ 2.1 with FRL, maximum resolution of 4K 120Hz 2x Type-C DisplayPort Thunderbolt™ 4 ports, supporting DisplayPort 1.4 over USB Type-C®, with a maximum resolution of 4K 120Hz / 8K 60Hz Available only on processors featuring integrated graphics. Graphics specifications may vary depending on the CPU installed.","1x HDMI™ Support HDMI™ 2.1, maximum resolution of 4K 60Hz 1x DisplayPort Support DisplayPort 1.4, maximum resolution of 4K 60Hz 1x Type-C DisplayPort Thunderbolt™ 4 port, supporting DisplayPort 1.4 over USB Type-C®, with a maximum resolution of 4K 120Hz / 8K 60Hz Available only on processors featuring integrated graphics. Graphics specifications may vary depending on the CPU installed."
USB (FRONT),4x USB 2.0 2x USB 5Gbps Type A 1x USB 20Gbps Type C USB 20Gbps Type-C (Front) support USB PD 27W fast charging for JUSBC1,4x USB 2.0 4x USB 5Gbps Type A 1x USB 20Gbps Type C
USB (REAR),4x USB 5Gbps Type A 3x USB 10Gbps Type A 1x USB 10Gbps Type C,4x USB 2.0 2x USB 5Gbps Type A 1x USB 10Gbps Type A 1x USB 10Gbps Type C
WIRELESS LAN,"Intel® Killer™ BE1750x Wi-Fi 7 The Wireless module is pre-installed in the M.2 (Key-E) slot Supports MU-MIMO TX/RX, 2.4GHz / 5GHz / 6GHz* (320MHz) up to 5.8Gbps Supports 802.11 a/ b/ g/ n/ ac/ ax/ be","Intel® Wi-Fi 7 The Wireless module is pre-installed in the M.2 (Key-E) slot Supports MU-MIMO TX/RX, 2.4GHz / 5GHz / 6GHz* (320MHz) up to 5.8Gbps Supports 802.11 a/ b/ g/ n/ ac/ ax/ be"
